[2021-09-14 10:35:26,607] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:35:26,607] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:35:26,607] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1585. (UVa_Crawler.py:21)
[2021-09-14 10:35:26,607] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:35:26,608] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:35:26,609] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1586. (UVa_Crawler.py:21)
[2021-09-14 10:35:26,609] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:35:26,610] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:35:26,610] - [root] - [INFO] - #UserID: sa072686 #ProblemID: 1719 (TIOJ_Crawler.py:15)
[2021-09-14 10:35:26,610] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:35:26,612] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:35:26,612] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:35:26,612] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:35:26,613] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:35:26,613] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:35:26,718] - [root] - [INFO] - Successfully Get Submissions. (TIOJ_Crawler.py:25)
[2021-09-14 10:35:26,719] - [root] - [INFO] - Successfully Get Status. #TIOJ1719 #sa072686 #AC. (TIOJ_Crawler.py:43)
[2021-09-14 10:35:27,774] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:35:27,775] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:37:18,429] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:37:18,429] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1595. (UVa_Crawler.py:21)
[2021-09-14 10:37:18,430] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:37:18,430] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:18,430] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1585. (UVa_Crawler.py:21)
[2021-09-14 10:37:18,430] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:37:18,430] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:18,431] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1586. (UVa_Crawler.py:21)
[2021-09-14 10:37:18,431] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:37:18,431] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:18,431] - [root] - [INFO] - #UserID: sa072686 #ProblemID: 1719 (TIOJ_Crawler.py:15)
